jst,bid,ask,volume,volume_real,flags
2025-06-18 00:00:00.055000+09:00,73.395,73.449,0,0.0,1154
2025-06-18 00:00:00.155000+09:00,73.405,73.459,0,0.0,1158
2025-06-18 00:00:00.253000+09:00,73.395,73.459,0,0.0,1154
2025-06-18 00:00:00.357000+09:00,73.405,73.469,0,0.0,1158
2025-06-18 00:00:00.957000+09:00,73.415,73.479,0,0.0,1158
2025-06-18 00:00:01.054000+09:00,73.375,73.449,0,0.0,1158
2025-06-18 00:00:01.456000+09:00,73.385,73.449,0,0.0,1154
2025-06-18 00:00:02.157000+09:00,73.395,73.449,0,0.0,1154
2025-06-18 00:00:03.759000+09:00,73.385,73.449,0,0.0,1154
2025-06-18 00:00:03.958000+09:00,73.385,73.459,0,0.0,1028
2025-06-18 00:00:04.162000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:00:04.260000+09:00,73.385,73.459,0,0.0,1028
2025-06-18 00:00:04.460000+09:00,73.365,73.439,0,0.0,1158
2025-06-18 00:00:04.561000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:00:05.261000+09:00,73.295,73.369,0,0.0,1158
2025-06-18 00:00:05.362000+09:00,73.275,73.329,0,0.0,1158
2025-06-18 00:00:05.463000+09:00,73.305,73.369,0,0.0,1158
2025-06-18 00:00:05.662000+09:00,73.315,73.379,0,0.0,1158
2025-06-18 00:00:05.762000+09:00,73.335,73.399,0,0.0,1158
2025-06-18 00:00:06.062000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:00:06.261000+09:00,73.325,73.389,0,0.0,1154
2025-06-18 00:00:06.464000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:06.564000+09:00,73.325,73.389,0,0.0,1028
2025-06-18 00:00:06.763000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:07.464000+09:00,73.295,73.359,0,0.0,1158
2025-06-18 00:00:07.766000+09:00,73.275,73.339,0,0.0,1158
2025-06-18 00:00:07.866000+09:00,73.255,73.319,0,0.0,1158
2025-06-18 00:00:08.066000+09:00,73.245,73.309,0,0.0,1158
2025-06-18 00:00:08.871000+09:00,73.235,73.299,0,0.0,1158
2025-06-18 00:00:08.970000+09:00,73.215,73.279,0,0.0,1158
2025-06-18 00:00:09.071000+09:00,73.195,73.259,0,0.0,1158
2025-06-18 00:00:09.371000+09:00,73.205,73.269,0,0.0,1158
2025-06-18 00:00:09.474000+09:00,73.185,73.249,0,0.0,1158
